ID,name,vapage,website,phone,address,region,descr,reglatlong,times,fees,amenities,trails,shipsto
131,Loving Cup Vineyard & Winery,https://www.virginiawine.org/wineries/loving-cup-vineyard-winery,http://www.lovingcupwine.com,434.984.0774,"3340 Sutherland Road , North Garden, VA 22959",Central Virginia,CERTIFIED ORGANIC VINEYARD AND YUMMY WINES!,"(37.9515945, -78.6864918)","['Mon: Closed', 'Tues: Closed', 'Wed: Closed', 'Thurs: Closed', 'Fri: Closed', 'Sat: 11:00 AM - 5:00 PM', 'Sun: 11:00 AM - 5:00 PM', 'Child: Friendly', 'Food: Available: Light Fare', 'Pet: Friendly', 'Picnic: Area', 'Tasting: Room', 'Wine: Shop', 'Monticello: Wine Trail']",Tasting Fee: $8.00,"['Features', 'Child Friendly', 'Food Available', 'Light Fare', 'Pet Friendly', 'Picnic Area', 'Tasting Room', 'Wine Shop']","[('Monticello Wine Trail', 'https://www.monticellowinetrail.com\n')]","['Alaska', 'Florida', 'Minnesota', 'Virginia', 'Washington']"
132,Lovingston Winery,https://www.virginiawine.org/wineries/lovingston-winery,http://www.lovingstonwinery.com,4342638467,"885 Freshwater Cove Lane, Lovingston, VA 22949",Central Virginia,Boutique gravity-flow family winery specializing in traditional Bordeaux varietals as well as more unique ones such as Pinotage and Seyval Blanc,"(37.7277727, -78.9133048)","['Mon: Closed', 'Tues: Closed', 'Wed: 10:00 AM - 4:00 PM', 'Thurs: 10:00 AM - 4:00 PM', 'Fri: 11:00 AM - 5:00 PM', 'Sat: 11:00 AM - 5:00 PM', 'Sun: 11:00 AM - 5:00 PM', 'Child: Friendly', 'Food: Available: Light Fare', 'Group: Tours', 'Pet: Friendly', 'Picnic: Area', 'Tasting: Room', 'Explore: Nelson Wine Trail', 'Monticello: Wine Trail']",Tour Fee: none,"['Features', 'Child Friendly', 'Food Available', 'Light Fare', 'Group Tours', 'Pet Friendly', 'Picnic Area', 'Tasting Room']","[('Explore Nelson Wine Trail', 'http://nelsoncounty.com/visit/wineriesbrewery/'), ('Monticello Wine Trail', 'https://www.monticellowinetrail.com\n')]","['Alabama', 'California', 'Florida', 'Illinois', 'Iowa', 'Massachusetts', 'Michigan', 'Minnesota', 'Missouri', 'Ohio', 'Pennsylvania', 'Texas', 'Virginia']"
133,Maggie Malick Wine Caves,https://www.virginiawine.org/wineries/maggie-malick-wine-caves,http://www.maggiemalickwinecaves.com,540-905-2921,"12138 Harpers Ferry Rd, Purcellville, VA 20132",Northern Virginia,"Come and visit our unique man-made wine cave on our 215-acre estate, nestled at the foot of Short Hill Mountain, adorned with several ponds and gently rolling hills.  All of our wines are estate grown in our 30-acre vineyard, with 15 varieties of Old World grapes. Maggie's earned nearly 70 medals since she opened the Wine Cave in 2013. Sit back and enjoy our hand-crafted, Cave-aged wines while reviving your senses in the beautiful surroundings.  We are DOG FRIENDLY. Check our website for events and music throughout the summer. 
So that we may give all our customers the attention they deserve, we require that groups of 8 or more call for a reservation.","(39.2785968, -77.7217914)","['Mon: 11:00 AM - 6:00 PM', 'Tues: Closed', 'Wed: Closed', 'Thurs: 11:00 AM - 6:00 PM', 'Fri: 11:00 AM - 6:00 PM', 'Sat: 11:00 AM - 6:00 PM', 'Sun: 11:00 AM - 6:00 PM', 'Food: Available: Light Fare', 'Group: Tours', 'Pet: Friendly', 'Picnic: Area', 'Private: Parties', 'Tasting: Room', 'Weddings:  ', 'Loudoun: Wine Trail', 'Tuski: e']","Tasting Fee: $10 per person; $15 for groups of 8+, Group fee includes logo glass and requires a reservation.","['Features', 'Food Available', 'Light Fare', 'Group Tours', 'Pet Friendly', 'Picnic Area', 'Private Parties', 'Tasting Room', 'Weddings']","[('Loudoun Wine Trail', 'https://www.visitloudoun.org\n'), (""Tuskie's Wine Trail"", 'http://www.tuskies.com/WineTrail/')]","['Colorado', 'District of Columbia', 'Florida', 'Georgia', 'Illinois', 'Iowa', 'Maryland', 'Nevada', 'North Carolina', 'Ohio', 'Oregon', 'Pennsylvania', 'Virginia', 'Washington', 'West Virginia']"
134,Magnolia Vineyards & Winery,https://www.virginiawine.org/wineries/magnolia-vineyards-winery,http://www.magnoliavineyards.com/,703-785-8190,"200 Viewtown Rd, Amissville, VA 20106",Northern Virginia,"Family-run vineyard and winery, making small lots of mostly Bordeaux varietals, located just off scenic Route 211 in beautiful Rappahannock County.  Quiet country peace, tranquility and great mountain views. Come relax in our cozy farmhouse tasting room or surrounding grounds and ""Escape the Madness""!  No stress, no pressure, just magnificent wines!","(38.6386643, -78.0497642)","['Mon: 11:30 AM - 5:30 PM', 'Tues: Closed', 'Wed: Closed', 'Thurs: 11:30 AM - 5:30 PM', 'Fri: 11:30 AM - 5:30 PM', 'Sat: 11:30 AM - 5:30 PM', 'Sun: 11:30 AM - 5:30 PM', 'Child: Friendly', 'Food: Available: Light Fare', 'Pet: Friendly', 'Picnic: Area', 'Tasting: Room', 'Wine: Shop', 'Skyline: Wine Trail', 'Tween: Rivers Trail']",Tasting Fee: $10 ($15 for groups of 8 or more; reservation required),"['Features', 'Child Friendly', 'Food Available', 'Light Fare', 'Pet Friendly', 'Picnic Area', 'Tasting Room', 'Wine Shop']","[('Skyline Wine Trail', 'https://www.skylinewinetrail.com/'), ('Tween Rivers Trail', 'http://www.tweenriverstrail.com/')]",['Virginia']
135,Marceline Vineyards,https://www.virginiawine.org/wineries/marceline-vineyards,www.marcelinevineyards.com,540-212-9798,"5887 Cross Keys Rd., Mt. Crawford, VA 22841",Shenandoah Valley,"Located in the heart of the Shenandoah Valley, Marceline Vineyards is anchored by a beautiful log barn surrounded by patios, gardens, and a hill of wine grapevines. The vineyard and encompassing property is owned and operated by Susan Rudolph Pleasant with the help of her children. With shared family values, love of the land, and extreme determination the dream of opening a vineyard, winery, and event destination is becoming a reality.","(38.3253118, -78.8727436)","['Mon: Closed', 'Tues: Closed', 'Wed: 11:00 AM - 6:00 PM', 'Thurs: 11:00 AM - 6:00 PM', 'Fri: 11:00 AM - 6:00 PM', 'Sat: 11:00 AM - 6:00 PM', 'Sun: 1:00 PM - 7:00 PM', 'Bu: s', 'Child: Friendly', 'Food: Available: Light Fare', 'Picnic: Area', 'Private: Parties', 'Tasting: Room', 'Weddings:  ', 'Shenandoah: Valley Wine Trail']",Tasting Fee: $8.00,"['Features', 'Bus/RV Parking', 'Child Friendly', 'Food Available', 'Light Fare', 'Picnic Area', 'Private Parties', 'Tasting Room', 'Weddings']","[('Shenandoah Valley Wine Trail', 'https://www.shenandoahvalleywinetrail.com')]",
136,Mattaponi Winery,https://www.virginiawine.org/wineries/mattaponi-winery,http://www.mattaponiwinery.com/,540-582-2897,"7530 Morris Road, Spotsylvania, Virginia 22551",Northern Virginia,"We are a family-owned winery producing a variety of hand-crafted Award-Winning wines.  Join us in our Native American Indian Tasting Post and take a taste in time with Mattaponi Wine!  We are Coast-to-Coast International Award-Winner 5 times, and National Award-Winner 4 times. The name comes from the four rivers in Spotsylvania County, Virginia: Mat, Ta, Po, and Ni, which has been used in history to name the Indian tribe once ruled by Chief Powhatan, Pocahontas' father.  The delightful berries of Virginia have been used for generations, and today we bring to you our New World of wines!","(38.142949, -77.593953)","['Mon: Closed - Closed', 'Tues: Closed - Closed', 'Wed: 10:00 AM -  6:00 PM', 'Thurs: 10:00 AM -  6:00 PM', 'Fri: 10:00 AM -  6:00 PM', 'Sat: 10:00 AM -  6:00 PM', 'Sun: 10:00 AM -  6:00 PM', 'Bu: s', 'Child: Friendly', 'Food: Available: Light Fare', 'Pet: Friendly', 'Picnic: Area', 'Private: Parties', 'Tasting: Room', 'Weddings:  ', 'Wine: Shop', 'Grapes: and Grains Trail', 'Heart: of Virginia Wine Trail']",Reserve Tasting Fee: $10.00,"['Features', 'Bus/RV Parking', 'Child Friendly', 'Food Available', 'Light Fare', 'Pet Friendly', 'Picnic Area', 'Private Parties', 'Tasting Room', 'Weddings', 'Wine Shop']","[('Grapes and Grains Trail', 'http://tinyurl.com/ofqv38j'), ('Heart of Virginia Wine Trail', 'https://www.hovawinetrail.com\n')]",['Virginia']
137,Mediterranean Cellars,https://www.virginiawine.org/wineries/mediterranean-cellars,http://www.mediterraneancellars.com,540-428-1984,"8295 Falcon Glen Road, Warrenton, VA 20186",Northern Virginia,Come experience the rich wine making tradition and warm Mediterranean hospitality of our family owned winery. We offer a variety of fine wines and invite you to savor our own Romance-it will touch your heart!,"(38.7568399, -77.85299)","Year round. Thurs-Mon, 11am-6pm. Closed major holidays.",,"['Features', 'Child Friendly', 'Food Available', 'Light Fare', 'Group Tours', 'Pet Friendly', 'Picnic Area', 'Private Parties', 'Tasting Room', 'Wine Shop']",,
138,Meriwether Springs Vineyard,https://www.virginiawine.org/wineries/meriwether-springs-vineyard,http://meriwethersprings.com/,(434) 270-4299,"1040 Owensville Road, Ivy, VA 22945",Central Virginia,"Open for private events only, Meriwether Springs Vineyard is one of the Charlottesville area’s newest winery and event center. Located a mile from the town of Ivy and minutes from the University of Virginia and downtown, Meriwether Springs is part of the original estate of the famed explorer, Meriwether Lewis.","(38.065237, -78.592081)","['Mon: Closed - Closed', 'Tues: Closed - Closed', 'Wed: Closed - Closed', 'Thurs: Closed - Closed', 'Fri: Closed - Closed', 'Sat: Closed - Closed', 'Sun: Closed - Closed', 'Overnight: Stay', 'Private: Parties', 'Weddings:  ']",,"['Features', 'Overnight Stay', 'Private Parties', 'Weddings']",,
139,Mermaid Winery,https://www.virginiawine.org/wineries/mermaid-winery,http://www.mermaidwinery.com,757.233.4155,"330 W. 22nd Street, STE #106, Norfolk, VA 23517",Hampton Roads,Welcome to Norfolk's first winery located in the charming Ghent neighborhood. We focus on producing small lots of well-balanced wines using Virginia grapes. Our winemaking process can be viewed from the tasting bar where you can enjoy our creations.,"(36.8696434, -76.289251)","Open Daily

Sunday through Thursday 11 AM to 11 PM

Friday and Saturday 11 AM to midnight",Reserve Tasting Fee: 13.00,"['Features', 'Food Available', 'Restaurant', 'Picnic Area', 'Private Parties', 'Tasting Room', 'Weddings']",,"['California', 'Missouri', 'Virginia']"
140,Michael Shaps Wineworks,https://www.virginiawine.org/wineries/michael-shaps-wineworks,http://www.michaelshapswines.com,(434)296-3438,"1781 Harris Creek Way, Charlottesville, VA 22902",Central Virginia,"Founded in 2007, Michael Shaps Wineworks produces award-winning wines in an old-world style for the Michael Shaps label, as well as for several prestigious wineries throughout the state. Michael introduced the first ""bag-in-box"" wines to Virginia wine consumers, which are available for purchase, in addition to wine in kegs. We are a working winery nestled in the woods south of Charlottesville, and are devoted to the passion of winemaking. Our tasting room offers a Virginia tasting list, as well as a French tasting list consisting of Michael Shaps' imported wines from Burgundy.","(37.8981586, -78.5568467)","['Mon: 11:00 AM - 5:00 PM', 'Tues: 11:00 AM - 5:00 PM', 'Wed: 11:00 AM - 5:00 PM', 'Thurs: 11:00 AM - 5:00 PM', 'Fri: 11:00 AM - 5:00 PM', 'Sat: 11:00 AM - 5:00 PM', 'Sun: 11:00 AM - 5:00 PM', 'Bu: s', 'Food: Available: Light Fare', 'Private: Parties', 'Tasting: Room', 'Wine: Shop', 'Monticello: Wine Trail']",Reserve Tasting Fee: 15.00,"['Features', 'Bus/RV Parking', 'Food Available', 'Light Fare', 'Private Parties', 'Tasting Room', 'Wine Shop']","[('Monticello Wine Trail', 'https://www.monticellowinetrail.com\n')]","['California', 'Florida', 'Maryland', 'New York', 'North Carolina', 'Pennsylvania', 'Virginia']"
141,Misty Mountain Meadworks,https://www.virginiawine.org/wineries/misty-mountain-meadworks,http://www.mistymountainmead.com,540-336-2273,"661 Warm Springs Rd., Winchester, VA 22603",Shenandoah Valley,"Misty Mountain Meadworks is now the oldest Meadery in Virginia. Our specialty is producing the ancient ""Nectar of the Gods"" - Mead, which some people call honey-wine.  The Meadery is owned and operated by the Copeland family and located on a small farm in the Shenandoah Valley just north of Winchester, VA. where we raise our bees and fruit for our handcrafted meads.","(39.2901125, -78.1629676)","['Mon: Closed', 'Tues: Closed', 'Wed: Closed', 'Thurs: Closed', 'Fri: Closed', 'Sat: Closed', 'Sun: Closed', 'Reservation: Required', 'Shenandoah: Valley Wine Trail']",Reserve Tasting Fee: $12.00,"['Features', 'Reservation Required']","[('Shenandoah Valley Wine Trail', 'https://www.shenandoahvalleywinetrail.com')]",['Virginia']
142,Molon Lave Vineyards,https://www.virginiawine.org/wineries/molon-lave-vineyards,http://www.molonlavevineyards.com/,540-439-5460,"10075 Lees Mill Road, Warrenton, Virginia 20186",Northern Virginia,"Located on fifty acres of pristine Virginia countryside, our award-winning wines fuse old world European winemaking tradition with the finest Virginia grapes. Come enjoy our beautiful tasting rooms, outdoor patio, and pavilion with views of ponds, rolling hillside, and acres of vines!","(38.6206893, -77.8238928)","['Mon: 11:00 AM - 5:30 PM', 'Tues: 11:00 AM - 5:30 PM', 'Wed: 11:00 AM - 5:30 PM', 'Thurs: 11:00 AM - 5:30 PM', 'Fri: 11:00 AM - 5:30 PM', 'Sat: 11:00 AM - 5:30 PM', 'Sun: 11:00 AM - 5:30 PM', 'Food: Available: Light Fare', 'Group: Tours', 'Pet: Friendly', 'Picnic: Area', 'Private: Parties', 'Tasting: Room', 'Weddings:  ', 'Wine: Shop', 'Fauquier: County Wine Trail']",Tour Fee: $10.00,"['Features', 'Food Available', 'Light Fare', 'Group Tours', 'Pet Friendly', 'Picnic Area', 'Private Parties', 'Tasting Room', 'Weddings', 'Wine Shop']","[('Fauquier County Wine Trail', 'https://www.fauquiertourism.com/wineries.html\n')]",['Virginia']
143,Monroe Bay Vineyard,https://www.virginiawine.org/wineries/monroe-bay-vineyard,http://www.MonroeBayWine.com,804-410-5628,"4786 James Monroe Highway, Colonial Beach , VA 22443",Chesapeake Bay,"We are a small farm winery and cidery located near Colonial Beach, VA 22443.
Our tasting room is OPEN in SUMMER (Memorial Day to Labor Day) in two locations: 
1) At Strawbale Barn 
4786 James Monroe Highway
Colonial Beach VA 22443
Saturdays & Sundays: 12 - 5pm","(38.245862, -76.9868567)","['Mon: Closed', 'Tues: Closed', 'Wed: Closed', 'Thurs: Closed', 'Fri: Closed', 'Sat: 12:00 PM - 8:00 PM', 'Sun: 12:00 PM - 5:00 PM', 'Child: Friendly', 'Picnic: Area', 'Private: Parties', 'Tasting: Room', 'Weddings:  ', 'Wine: Shop']",Reserve Tasting Fee: 7,"['Features', 'Child Friendly', 'Picnic Area', 'Private Parties', 'Tasting Room', 'Weddings', 'Wine Shop']",,
144,Monticello Wine Trail,https://www.virginiawine.org/wineries/monticello-wine-trail,http://www.monticellowinetrail.com,,"PO Box 244, Charlottesville, VA 22902",Central Virginia,"The Monticello Wine Trail currently consists of over 30 member wineries located within the Monticello American Viticultural Area (AVA), which was the first established AVA in Virginia.","(38.0293059, -78.4766781)",,,,"[('Monticello Wine Trail', 'https://www.monticellowinetrail.com\n')]",
145,Montifalco Vineyard,https://www.virginiawine.org/wineries/montifalco-vineyard,http://www.montifalcovineyard.com/,434-989-9115,"1800 Fray Road, Ruckersville, VA 22968",Central Virginia,"West Coast roots, East Coast terroir, Old World tradition.
We look forward to welcoming you to this unique and exclusive experience.","(38.194601, -78.4368034)","['Mon: Closed', 'Tues: Closed', 'Wed: Closed', 'Thurs: Closed', 'Fri: Closed', 'Sat: 12:00 PM - 5:00 PM', 'Sun: 12:00 PM - 5:00 PM', 'Pet: Friendly', 'Picnic: Area', 'Private: Parties', 'Reservation: Required', 'Tasting: Room', 'Wine: Shop']",,"['Features', 'Pet Friendly', 'Picnic Area', 'Private Parties', 'Reservation Required', 'Tasting Room', 'Wine Shop']",,
146,Morais Vineyards & Winery,https://www.virginiawine.org/wineries/morais-vineyards-winery,http://www.moraisvineyards.com/,540-729-2763,"11409 Marsh Road, Bealeton, VA 22712",Northern Virginia,"The Morais family has been making wine for over a hundred years. In Portugal, the heritage of wine making has been passed down from generation to generation. Joining this age old family tradition with Virginia’s rich history of winemaking, the Morais family has built a legacy which has become an area landmark. The Winery opened its doors to the public in 2011. Since then we have expanded vineyards, wine production and venue space to accommodate the increase of visitors we see every year.","(38.567111, -77.7513142)","['Mon: Closed', 'Tues: Closed', 'Wed: Closed', 'Thurs: Closed', 'Fri: 12:00 PM - 6:00 PM', 'Sat: 12:00 PM - 6:00 PM', 'Sun: 1:00 PM - 7:00 PM', 'Child: Friendly', 'Food: Available: Light Fare', 'Group: Tours', 'Pet: Friendly', 'Picnic: Area', 'Private: Parties', 'Tasting: Room', 'Weddings:  ', 'Fauquier: County Wine Trail', 'Tween: Rivers Trail']",Tour Fee: $0.00,"['Features', 'Child Friendly', 'Food Available', 'Light Fare', 'Group Tours', 'Pet Friendly', 'Picnic Area', 'Private Parties', 'Tasting Room', 'Weddings']","[('Fauquier County Wine Trail', 'https://www.fauquiertourism.com/wineries.html\n'), ('Tween Rivers Trail', 'http://www.tweenriverstrail.com/')]",
147,Moss Vineyards,https://www.virginiawine.org/wineries/moss-vineyards,http://www.mossvineyards.net,434-990-0111,"1849 Simmons Gap Road, Nortonsville, Virginia 22935",Central Virginia,"We founded Moss Vineyards with the vision and dream of providing people with the highest quality American wines, hand-crafted in a breathtaking Blue Ridge mountain setting in the heart of Virginia. The wines are produced with great attention to the science and art of growing and blending grapes that result in fine, balanced wines. The mountaintop vineyard and winery were designed and built to offer our guests and visitors what is simply one of the most beautiful vineyard and winery experiences to be had in Virginia.","(38.2404817, -78.5514481)","F,S,S 12-5 March 1-December 1",Tasting Fee: 5.00,"['Features', 'Food Available', 'Light Fare', 'Pet Friendly', 'Picnic Area', 'Private Parties', 'Tasting Room', 'Wine Shop']","[('Blue Ridge Wine Trail', 'https://www.blueridgewinetrail.com\n'), ('Monticello Wine Trail', 'https://www.monticellowinetrail.com\n')]","['Alaska', 'Florida', 'Maryland', 'Minnesota', 'Virginia', 'Washington']"
148,Mountain Cove Vineyards,https://www.virginiawine.org/wineries/mountain-cove-vineyards,http://www.mountaincovevineyards.com,434-263-5392,"1362 Fortunes Cove Lane, Lovingston, VA 22949",Central Virginia,"Virginia's oldest winery is nestled in a photogenic cove just minutes off US 29, 30 minutes south of Charlottesville.  We grow a mix of wine grapes and have pioneered in the production of wine from Virginia grown fruit.  We welcome picnics, and encourage hiking on the nearby Nature Conservancy's Fortunes Cove Preserve.  We are a prime location for an affordable wedding or other outdoor event.","(37.7801626, -78.8927883)","['Mon: Closed', 'Tues: Closed', 'Wed: 12:00 PM - 6:00 PM', 'Thurs: 12:00 PM - 6:00 PM', 'Fri: 12:00 PM - 6:00 PM', 'Sat: 12:00 PM - 6:00 PM', 'Sun: 12:00 PM - 6:00 PM', 'Bu: s', 'Child: Friendly', 'Group: Tours', 'Pet: Friendly', 'Picnic: Area', 'Private: Parties', 'Tasting: Room', 'Weddings:  ', 'Wine: Shop', 'Explore: Nelson Wine Trail', 'Jefferson: Heritage Trail', 'Monticello: Wine Trail']",Tasting Fee: 5.00 for groups ten or more,"['Features', 'Bus/RV Parking', 'Child Friendly', 'Group Tours', 'Pet Friendly', 'Picnic Area', 'Private Parties', 'Tasting Room', 'Weddings', 'Wine Shop']","[('Explore Nelson Wine Trail', 'http://nelsoncounty.com/visit/wineriesbrewery/'), ('Jefferson Heritage Trail', 'https://jeffersonheritagetrail.com'), ('Monticello Wine Trail', 'https://www.monticellowinetrail.com\n')]","['California', 'Ohio', 'Virginia']"
149,MountainRose Vineyards,https://www.virginiawine.org/wineries/mountainrose-vineyards,http://www.mountainrosevineyard.com,(276) 328-2013,"10439 N. Reservoir Rd., Wise, VA 24293",Heart Of Appalachia,"Covid 19 Update: Open 7 days with restrictions. Curbside Service, Local Delivery & Free Shipping are available, daily from 1-5pm, please call for details. 
We are now accepting reservations for outdoor seating. 
You must CALL & speak to us directly to reserve your time on Friday, Saturday or Sunday only. 276.328.2013","(36.9709574, -82.5228518)","['Mon: 1:00 PM - 5:00 PM', 'Tues: 1:00 PM - 5:00 PM', 'Wed: 1:00 PM - 5:00 PM', 'Thurs: 1:00 PM - 5:00 PM', 'Fri: 12:00 PM - 6:00 PM', 'Sat: 12:00 PM - 6:00 PM', 'Sun: 1:00 PM - 5:00 PM', 'Bu: s', 'Child: Friendly', 'Food: Available: Light Fare', 'Group: Tours', 'Pet: Friendly', 'Picnic: Area', 'Private: Parties', 'Tasting: Room', 'Weddings:  ', 'Wine: Shop']",Tour Fee: $5 per guest for large groups- No charge for guests when available,"['Features', 'Bus/RV Parking', 'Child Friendly', 'Food Available', 'Light Fare', 'Group Tours', 'Pet Friendly', 'Picnic Area', 'Private Parties', 'Tasting Room', 'Weddings', 'Wine Shop']",,"['Alabama', 'Arkansas', 'California', 'Colorado', 'District of Columbia', 'Florida', 'Georgia', 'Hawaii', 'Idaho', 'Illinois', 'Indiana', 'Iowa', 'Kansas', 'Louisiana', 'Maine', 'Maryland', 'Massachusetts', 'Minnesota', 'Missouri', 'Nebraska', 'Nevada', 'New Hampshire', 'New Mexico', 'New York', 'North Carolina', 'North Dakota', 'Ohio', 'Oklahoma', 'Oregon', 'Pennsylvania', 'South Carolina', 'Tennessee', 'Texas', 'Vermont', 'Virginia', 'Washington', 'West Virginia', 'Wisconsin', 'Wyoming']"
150,Mountain Run Winery,https://www.virginiawine.org/wineries/mountain-run-winery,http://www.MountainRunWinery.com,703-638-5559,"10753 Mountain Run Lake Road, Culpeper, Virginia 22701",Northern Virginia,A rustic farm winery just five minutes from downtown Culpeper. Our tasting room is set in a 60-year old corn crib!,"(38.466586, -78.051001)",,Tasting Fee: 7.00,"['Features', 'Group Tours', 'Picnic Area', 'Private Parties', 'Tasting Room', 'Weddings', 'Wine Shop']",,
151,Mountfair Vineyards,https://www.virginiawine.org/wineries/mountfair-vineyards,http://www.mountfair.com,434-823-7605,"4875 Fox Mountain Rd, Crozet, Virginia 22932",Central Virginia,"Mountfair Vineyards, nestled at the base of the Blue Ridge near Charlottesville, is a family owned and operated Club Winery serving our club members through appointment and special events. Mountfair is no longer open for regular tasting room hours.","(38.1700338, -78.6664999)","['Mon: Closed - Closed', 'Tues: Closed - Closed', 'Wed: Closed - Closed', 'Thurs: Closed - Closed', 'Fri: Closed - Closed', 'Sat: Closed - Closed', 'Sun: Closed - Closed', 'Food: Available: Light Fare', 'Group: Tours', 'Pet: Friendly', 'Picnic: Area', 'Private: Parties', 'Tasting: Room']",,"['Features', 'Food Available', 'Light Fare', 'Group Tours', 'Pet Friendly', 'Picnic Area', 'Private Parties', 'Tasting Room']",,"['California', 'Colorado', 'Florida', 'Maryland', 'Virginia', 'Washington']"
152,Muse Vineyards,https://www.virginiawine.org/wineries/muse-vineyards,http://www.musevineyards.com,540-459-7033,"16 Serendipity Lane, Woodstock, VA 22664",Shenandoah Valley,"Winner of the 2015 Virginia Governor’s Cup, Muse Vineyards is a family owned winery located in the heart of the Shenandoah Valley in Woodstock, Virginia just 90 minutes southwest of DC. The winery specializes in the production of premium wines inspired by the practices of the domaine wineries of France and Italy. Each aspect of the growing, fermenting, pressing, aging and bottling of the wine is done on-site. Beginning with carefully-selected estate grown grapes, winemaker Tim Rausse creates wines inspired by the old-world that showcase the remarkable quality and terroir of the Shenandoah Valley. We invite you to visit our modern tasting room.","(38.856392, -78.5017742)","['Mon: Closed', 'Tues: Closed', 'Wed: Closed', 'Thurs: 4:00 PM - 8:00 PM', 'Fri: 12:00 PM - 8:00 PM', 'Sat: 12:00 PM - 8:00 PM', 'Sun: 12:00 PM - 6:00 PM', 'Bu: s', 'Child: Friendly', 'Food: Available: Light Fare', 'Food: Available: Restaurant', 'Pet: Friendly', 'Picnic: Area', 'Private: Parties', 'Tasting: Room', 'Wine: Shop', 'Shenandoah: County Wine Trail', 'Shenandoah: Valley Wine Trail']",Tasting Fee: 15,"['Features', 'Bus/RV Parking', 'Child Friendly', 'Food Available', 'Light Fare', 'Food Available', 'Restaurant', 'Pet Friendly', 'Picnic Area', 'Private Parties', 'Tasting Room', 'Wine Shop']","[('Shenandoah County Wine Trail', 'https://www.ShenandoahTravel.org'), ('Shenandoah Valley Wine Trail', 'https://www.shenandoahvalleywinetrail.com')]","['Alaska', 'Arizona', 'Colorado', 'Florida', 'Georgia', 'Hawaii', 'Idaho', 'Illinois', 'Indiana', 'Kansas', 'Louisiana', 'Maine', 'Maryland', 'Massachusetts', 'Minnesota', 'Missouri', 'Nebraska', 'Nevada', 'Ohio', 'Pennsylvania', 'Tennessee', 'Texas', 'Virginia', 'Washington', 'Wisconsin', 'Wyoming']"
153,Naked Mountain Winery and Vineyards,https://www.virginiawine.org/wineries/naked-mountain-winery-and-vineyards,http://www.nakedmtnwinery.com,540-364-1609,"2747 Leeds Manor Road, PO Box 115, Markham, Virginia 22643",Northern Virginia,"Nestled on the sunrise side of the Blue Ridge Mountains, Naked Mountain offers premium, 100% Virginia grown vinifera varietals, best known for our Chardonnay.  Discover our wines and experience our sensational views from our chalet-like winery, tucked away in our mountain-side retreat.  Family owned and operated, we strive daily to produce the highest quality wines while creating memorable experiences for all who visit.  We look forward to seeing you on the mountain and don't forget... Drink Naked!","(38.926872, -77.99742)","Regular Hours (April - October)
Mon - Thu: 11am - 5pm
Fri - Sun: 11am - 6pm

Winter Hours (November - March)
Thu - Mon: 11am - 5pm
Tue & Wed (call ahead)",Reserve Tasting Fee: $12.00,"['Features', 'Food Available', 'Light Fare', 'Group Tours', 'Picnic Area', 'Private Parties', 'Tasting Room', 'Weddings', 'Wine Shop']","[('Fauquier County Wine Trail', 'https://www.fauquiertourism.com/wineries.html\n')]","['Alaska', 'Colorado', 'Florida', 'Idaho', 'Louisiana', 'Maryland', 'Minnesota', 'Missouri', 'Nebraska', 'Nevada', 'Ohio', 'Oregon', 'Texas', 'Virginia', 'Wyoming']"
154,Narmada Winery,https://www.virginiawine.org/wineries/narmada-winery,http://www.narmadawinery.com/,540-937-8215,"43 Narmada Lane, Amissville, Virginia 20106",Northern Virginia,"Narmada Winery is located in scenic Rappahannock
County, VA, just one hour west of Washington, DC. Shenandoah National Park and Luray Caverns are nearby attractions.","(38.6916386, -78.0244613)","['Mon: 11:00 AM - 5:00 PM', 'Tues: Closed - Closed', 'Wed: Closed - Closed', 'Thurs: 11:00 AM - 5:00 PM', 'Fri: 11:00 AM - 6:00 PM', 'Sat: 11:00 AM - 7:00 PM', 'Sun: 11:00 AM - 6:00 PM', 'Bu: s', 'Food: Available: Light Fare', 'Group: Tours', 'Pet: Friendly', 'Picnic: Area', 'Private: Parties', 'Tasting: Room', 'Weddings:  ', 'Wine: Shop', '211: Scenic Vino Trail', 'Artisanal: Wineries of Rappahannock County', 'Blue: Ridge ', 'Fauquier: County Wine Trail', 'Skyline: Wine Trail', 'Tween: Rivers Trail']",Tour Fee: $10,"['Features', 'Bus/RV Parking', 'Food Available', 'Light Fare', 'Group Tours', 'Pet Friendly', 'Picnic Area', 'Private Parties', 'Tasting Room', 'Weddings', 'Wine Shop']","[('211 Scenic Vino Trail', 'https://www.211winetrail.com'), ('Artisanal Wineries of Rappahannock County', 'http://www.artwinerc.com/'), ('Blue Ridge “Whiskey Wine Loop”', 'https://www.discovershenandoah.com'), ('Fauquier County Wine Trail', 'https://www.fauquiertourism.com/wineries.html\n'), ('Skyline Wine Trail', 'https://www.skylinewinetrail.com/'), ('Tween Rivers Trail', 'http://www.tweenriverstrail.com/')]","['Alabama', 'Alaska', 'Arizona', 'California', 'Colorado', 'Florida', 'Hawaii', 'Idaho', 'Illinois', 'Indiana', 'Iowa', 'Kansas', 'Louisiana', 'Maine', 'Maryland', 'Massachusetts', 'Minnesota', 'Missouri', 'Nebraska', 'Nevada', 'Ohio', 'Oregon', 'Pennsylvania', 'Tennessee', 'Texas', 'Virginia', 'Washington', 'Wyoming']"
