"tree_name","treetype","context","picking_season","uses","cropping","keeping_(of_fruit)","flavor_style_(apples)","juice_style","juice_color","fruit_persistence","bitter_pit","cooking_result","gardening_skill","self-fertility","pollination_group","pollinating_others","ploidy","vigour","precocity","bearing_regularity","fruit_bearing","organic_culture","general_resistance","scab","mildew","fireblight","cedar_apple_rust","canker","woolly_aphid","cold_hardiness_(usda)","summer_average_maximum_temperatures","chill_requirement","frost_resistance_of_blossom","country_of_origin","period_of_origin","fruit_color","fruit_size","awards"
"Northern Spy apple tree","Apple tree","
Northern Spy is a traditional American winter apple, particularly well-suited to colder climate zones. The apples are quite large and have a handsome red-flush over a yellow-green background.
Rated by the 19th century pomologist Robert Hogg as ""a valuable dessert apple"".
Northern Spy ripens quite late in the season and will then keep in cold conditions well into the following spring without loss of quality. It is a versatile apple, with a good strong aromatic flavor, suitable for eating fresh or cooking with.
Fill in the form below and we will notify you when Northern Spy apple tree is back in stock.
Northern Spy has a reputation as a tough hardy heavy-cropping apple variety. However it is quite susceptible to many of the usual range of apple diseases, particularly mildew and fireblight. Northern Spy also takes its time to come into bearing, and when it does, it can over-crop and then fall into a biennial bearing habit. This can be avoided by preventing over-cropping in the ""on"" year. Don't let these issues put you off though, as Northern Spy's natural vigour helps it to grow through many of these difficulties, and on a dwarfing rootstock it should start bearing within 4 years.
One of the reasons that Northern Spy is so successful in colder zones is that it blossoms quite late. It helps if you have other late-flowering varieties nearby such as Ashmead's Kernel or Spitzenberg.
Advice on fruit tree pollination.
Originated in the early 1840s in New York state.
Northern Spy has been used in the development of many other apple varieties, and also in rootstock programs -  the well-known English MM106 rootstock is derived from it.","Very late","Eating fresh, Culinary, Juice, Traditional cooker","Heavy","3 months or more","Aromatic",,,"Normal ripening",,,"Average","Not self-fertile",5,"Average","Diploid","Vigorous","Slow to start bearing","Biennial tendency","Partial tip-bearer",,"Poor",,,"Very susceptible","Some susceptibility",,,"(4) -30F / -34C","Cool ( 20-24C / 68-75F), Warm (25-30C / 76-85F), Cold (< 20C / 67F)",,,"United States","1800 - 1849",,,
"Novaspy apple tree","Apple tree","
Novaspy is an attractive modern disease-resistant apple, developed from Northern Spy and Golden Delicious. It ripens late in the season and the apples keep well in storage.
The apples are attractive, similar in shape to Golden Delicious, but with a blushed red skin and clean finish.
As might be expected, the flavor is essentially sweet, but has some of the tang of Northern Spy. The apples are excellent for eating fresh or cooking or juicing.
Fill in the form below and we will notify you when Novaspy apple tree is back in stock.
As the name suggests, Novaspy can be considered as an improved form of Northern Spy. It has similar characteristics but is easier to grow, more disease-resistant, and a bit more productive and starts bearing at a much younger age.
Advice on fruit tree pollination.
Novaspy was developed by Agriculture and Agri-Food Canada based in Nova Scotia, and has Northern Spy and Golden Delicious in its ancestry. It was released in the 1980s.","Late","Eating fresh, Culinary, Juice","Good","3 months or more","Sharper",,,,,,"Average","Not self-fertile",3,,"Diploid","Average vigour","Precocious","Regular","Partial tip-bearer","Suitable","Good","Some resistance",,"Very resistant",,,,"(4) -30F / -34C","Cool ( 20-24C / 68-75F), Warm (25-30C / 76-85F)",,,"Canada","1950 - 1999","Orange / Red","Large",
"Orleans Reinette apple tree","Apple tree","
Orleans Reinette is an old French late-season apple variety, first recorded in the 18th century. It is very different from modern apples, being firm rather than crisp to the bite.
However it has remained quietly popular in both Europe and North America on account of its rich old-fashioned flavor.
Fill in the form below and we will notify you when Orleans Reinette apple tree is back in stock.
Orleans Reinette is a fairly light cropper and grows best in areas with dry climates.
In cooler zones flowering can occur over quite a long period which makes it difficult to assign Orleans Reinette to a specific flowering group, but it basically flowers in the mid/late blossom season and will therefore be pollinated by most other apple varieties.

Advice on fruit tree pollination.
Orleans Reinette originates from France in the 18th century.","Late","Eating fresh, Culinary","Light","2-3 weeks","Aromatic",,,"Normal ripening",,"Keeps shape","Average","Not self-fertile",4,"Poor","Triploid","Average vigour",,"Biennial tendency","Spur-bearer",,"Average","Very susceptible",,,,,,"(4) -30F / -34C","Cool ( 20-24C / 68-75F), Warm (25-30C / 76-85F)",,,"France","1750 - 1799","Orange flush",,
"Pine Golden Pippin apple tree","Apple tree","
Pine Golden Pippin is a classic English russet apple from the Victorian era. The skin is usually extensively, if not entirely covered in russet.
Like most russets the cream flesh has a firm rather than crisp texture, and is not as explosively juicy as modern apples. The flavor is multidimensional, but essentially sweet, with a distinct pineapple-like note.
Pine Golden Pippin was well-regarded in Victorian England as a late fall dessert apple.  If you have not tried a russet apple before it is very typical of this distinctive group, and makes an interesting addition the backyard orchard.
Fill in the form below and we will notify you when Pine Golden Pippin apple tree is back in stock.
Like many russet apples, Pine Golden Pippin is fairly disease-free - the russet coat seems to keep bugs and infections at bay.
It is fairly easy to grow, but blooms quite late in the spring when many other varieties may no longer be in flower, so make sure you have a suitable pollinator variety nearby - or ask us for advice.
Advice on fruit tree pollination.
Pine Golden Pippin was first recorded in 1861 by the English pomologist Robert Hogg, but its origins are unknown.","Late","Eating fresh","Good","1-2 months","Sweeter","Sweeter",,,,,"Average","Not self-fertile",5,,"Diploid","Average vigour",,,"Spur-bearer",,"Average",,,,,,,"(5) -20F / -29C, (6) -10F / -23C, (7) 0F / -18C","Cool ( 20-24C / 68-75F)",,,"United Kingdom","1850 - 1899","Russet","Small",
"Pink Pearl apple tree","Apple tree","
Pink Pearl was one of the first pink-fleshed apples to become available, and is perhaps the best-known.
Although the apples can be eaten fresh, this is really a variety for the kitchen - the pink-flesh makes a distinctive difference for apple sauce or cider.

Fill in the form below and we will notify you when Pink Pearl apple tree is back in stock.
Like many other red-fleshed varieties Pink Pearl flowers very early in the blossom season.
Advice on fruit tree pollination.
Pink Pearl was developed by Californian enthusiast Albert Etter in the 1940s.","Early","Culinary, Juice, Hard cider","Light","2-3 weeks","Sharper","Sharper","Pale red",,,,"Experienced","Not self-fertile",1,"Poor","Diploid","Weak growing",,"Biennial tendency",,,"Poor",,,,,,,,"Cool ( 20-24C / 68-75F), Warm (25-30C / 76-85F)",,,"United States","1900 - 1949","Orange / Red","Average",
"Pixie CrunchTM apple tree","Apple tree","
Pixie Crunchâ¢ is a modern disease-resistant apple with a really excellent flavor and, as the name suggests, a crunchy crisp texture. Whilst the texture is great, it is the sweet flavor with a slight hint of tartness which leaps out at you and marks this variety out from the rest. There is no doubt this is a very desirable apple.
The name Pixie Crunch was chosen to reflect the relatively small size and crisp flesh of this apple. It is smaller than modern rivals such as Honeycrisp, but ideal to eat as a snack on the go.
Pixie Crunch makes a great choice for the home grower as the apples stay fresh on the tree for several weeks.
Please note that Pixie Crunch is a trademarked and patented variety, and purchasers agree not to propagate or distribute the trees. In addition, customer address details may be made available to the licence holder if requested.
Fill in the form below and we will notify you when Pixie Crunch apple tree is back in stock.
Pixie Crunch has excellent scab resistance. However it is best avoided in areas prone to cedar apple rust or fireblight as it is slightly susceptible, although fireblight resistance is improved if using a resistant rootstock (e.g. the Geneva or G-series rootstocks).
Pixie Crunch also seems to tolerate warm humid climates fairly well.
Try not to allow the tree to over-crop as it has a slight tendency to become a biennial bearer.
Harvesting can take place over a period of 2-3 weeks - useful if you like to eat apples fresh from the tree.
Advice on fruit tree pollination.
Pixie Crunch was developed in a breeding program involving Purdue, Rutgers and Illinois universities, beginning in 1971. It was known as ""Co-op 33"" during this period, and subsequently released under the trademarked name Pixie Crunch.
As with most modern apples, the pedigree is complex but several of the crosses involve Rome Beauty, a variety well-known for its good productivity, pleasing clean appearance, and generally sound disease resistance. Pixie Crunch seems to inherit these attractive qualities, but its crisp sweet flavor probably come from one of its other ancestors, Golden Delicious. It has to be said that Pixie Crunch is far more than the sum of its parts, its texture and flavor make this is one of the best modern apples.","Mid","Eating fresh","Good","1-2 months","Sweet/Sharp",,,"Ripens over a period",,,"Beginner","Not self-fertile",4,"Average","Diploid","Average vigour",,"Biennial tendency","Spur-bearer","Suitable","Good","Very resistant","Some susceptibility","Some susceptibility","Very susceptible",,,,"Cool ( 20-24C / 68-75F), Warm (25-30C / 76-85F)",,,"United States","1950 - 1999","Red",,
"Pomme Gris apple tree","Apple tree","
Fill in the form below and we will notify you when Pomme Gris apple tree is back in stock.",,"Eating fresh, Juice, Hard cider",,"3 months or more","Aromatic",,,,,,,,3,,,"Average vigour",,,,,"Good",,,,,,,,"Cool ( 20-24C / 68-75F), Warm (25-30C / 76-85F)",,,"Canada","1700 - 1749",,,
"Pristine apple tree","Apple tree","
Pristine is an attractive green-yellow apple, and usually the first to ripen - if you want fresh new season apples in July, this is the one get.
It has a sweet/tart flavor, and also keeps quite well - a week or so in the fridge. Pick when still slightly green for use in the kitchen, or wait until it turns golden yellow for eating fresh.
Pristine's other notable feature is its good disease-resistance, and the apples usually have an attractive clean finish.
Fill in the form below and we will notify you when Pristine apple tree is back in stock.
Pristine is generally easy to grow, and is very resistant to scab, and has some resistance to mildew. The developers found it has some resistance to cedar-apple rust and fireblight, but some reports suggest it may be slightly susceptible.
It's main weakness is a tendency to over-crop, resulting in small fruits. Thinning of the fruitlets in June will resolve this.
Advice on fruit tree pollination.
As the name suggests, Pristine was developed in the co-operative breeding program of Purdue University, Rutgers University, and the University of Illinois (PRI ...). It's development reference was ""Co-op 32"" and it was released in the 1990s.","Very early","Eating fresh","Good","1 week",,,,"Ripens over a period",,,"Average","Not self-fertile",4,"Average","Diploid","Average vigour",,"Biennial tendency","Spur-bearer","Suitable","Good","Very resistant","Some resistance","Some susceptibility","Some susceptibility",,,,"Cool ( 20-24C / 68-75F), Warm (25-30C / 76-85F)",,,"United States","1950 - 1999","Yellow",,
"Cox Queen apple tree","Apple tree","
Queen Cox is a variant of the original Cox's Orange Pippin, and is perhaps the best of all the many forms of Cox's Orange Pippin.
The most noticeable difference is a slightly deeper skin colouring, but the fruit-size can also be slightly larger and the texture may be slightly crisper ... although these are nuances and may vary from year to year.
In any case there is no doubt that Queen Cox has all the aromatic qualities associated with Cox's Orange Pippin, and in flavor terms is by any standards a remarkably good apple.
Fill in the form below and we will notify you when Cox Queen apple tree is back in stock.
Queen Cox is a reliably self-fertile form of Cox's Orange Pippin.
Queen Cox is a poor pollinator of other apple varieties, partly because many are related to Cox, and partly because its self-fertility seems to reduce the viability of the pollen for cross-pollination.
In other respects growing Queen Cox means dealing with the same challenges as the original. Disease-resistance is only average, and it does best in areas with cool summer temperatures.
Advice on fruit tree pollination.
Queen Cox was raised from a self-fertile form of the original Cox's Orange Pippin at the Long Ashton research station near Bristol, England in the 1970s. It is possible the scion material for this development was propagated from a naturally-occurring bud-sport of Cox's Orange Pippin found in an orchard in the county of Berkshire in the 1950s, although the Berkshire form is not self-fertile. The Long Ashton Queen Cox was originally known as SF18.","Mid","Eating fresh, Culinary, Juice","Light","1-2 months","Aromatic",,,"Normal ripening",,,"Experienced","Self-fertile",3,"Poor","Diploid","Weak growing","Precocious","Regular","Spur-bearer",,"Poor","Some susceptibility","Some susceptibility",,"Some susceptibility","Some susceptibility",,,"Cool ( 20-24C / 68-75F)",,"Susceptible","United Kingdom","1950 - 1999","Orange / Red",,
"Redfield apple tree","Apple tree","
Malus domestica x Malus niedzwetzkyana 'Redfield'
Redfield is an unusual apple / crab-apple cross. It's key feature is its distinctive deep red flesh. The red pigmentation of the flesh also extends to the younger leaves and the wood of younger shoots.
The flavor for eating fresh is not great, but Redfield produces a particularly attractive red cider. Like Wolf River (its apple parent) it is also an excellent baking apple.
Fill in the form below and we will notify you when Redfield apple tree is back in stock.
Redfield is cold-hardy, and easier and more reliable to grow than many red-fleshed apples.
Advice on fruit tree pollination.
Like many red-fleshed apple varieties, Redfield is related to Malus niedzwetzkyana, a species of crab-apple originating in central Asia and characterised by purple-red flowers, purple leaves, and red or pink fleshed fruits. Redfield was developed in the 1930s at the New York State Agricultural Experiment Station, and is a cross between Wolf River and Malus niedzwetzkyana. The fruit size is larger than most crab-apple / apple crosses, as might be expected given the very large size of Wolf River apples.","Late","Culinary, Juice","Good","2-3 weeks","Sharper","Sharper","Pale red",,,"Keeps shape","Average","Not self-fertile",3,,"Diploid","Average vigour",,,"Spur-bearer",,"Average",,,,,,,"(4) -30F / -34C","Cool ( 20-24C / 68-75F), Warm (25-30C / 76-85F)",,,"United States","1900 - 1949","Red - dark","Average",
"Redfree apple tree","Apple tree","
Redfree is an attractive modern summer apple, with a high level of disease resistance. As well as excellent resistance to scab it also has good resistance to fire blight and cedar apple rust.
The apples have a crisper texture than is normally found in summer apples, and can be kept in a fridge for several weeks after picking.
Fill in the form below and we will notify you when Redfree apple tree is back in stock.
Redfree is easy to grow and adapted to both cold and warm climates, but flavor is generally better in cooler areas.
Thanks to its unusual parentage, which includes a scab-resistant crab apple, Redfree is a good pollinator of many other apple varieties.
Redfree is one of the most resistant varieties to cedar-apple rust, and is therefore a good choice if you live in an area where CAR is present.
Advice on fruit tree pollination.
Redfree was developed by the co-operative breeding program at Purdue, Rutgers, and Illinois universities. It was known during development as Co-op 13 and was released in the 1980s.","Early","Eating fresh","Good","2-3 weeks","Sweet/Sharp",,,"Normal ripening",,,"Beginner","Not self-fertile",3,"Good","Diploid","Average vigour",,"Regular","Spur-bearer","Suitable","Good","Very resistant","Some resistance","Some resistance","Very resistant",,,"(4) -30F / -34C","Cool ( 20-24C / 68-75F), Warm (25-30C / 76-85F)",,,"United States","1950 - 1999","Red",,
"Reinette Clochard apple tree","Apple tree","
Reinette Clochard is a traditional French dual-purpose apple. The apples have a strong sweet-sharp flavor which becomes sweeter in storage, and they will keep in a cold store into mid-winter.
Slices keep their shape when cooked, making this an ideal variety for many French-style patisserie cakes and desserts.
Fill in the form below and we will notify you when Reinette Clochard apple tree is back in stock.
Reinette Clochard was originally thought to be a ""triploid"" variety but research commissioned by the UK government department for environment food and rural affairs (defra) in 2010 did not support this. However it is perhaps safest to assume it might not be a good pollinator of other varieties.
In other respects, this variety is easy to grow.
Advice on fruit tree pollination.","Late","Eating fresh, Culinary, Juice","Good","3 months or more","Sweet/Sharp","Sweeter",,,,"Keeps shape","Average","Not self-fertile",4,"Poor","Diploid","Slightly large",,,"Spur-bearer",,"Average",,,,,,,"(5) -20F / -29C","Cool ( 20-24C / 68-75F), Warm (25-30C / 76-85F)",,,"France","1800 - 1849","Green / Yellow","Average",
"Rhode Island Greening apple tree","Apple tree","
Rhode Island Greening is one of the best American culinary apples.  Described by William Kendrick in his book The New American Orchardist (1833) as ""... tender, rich, juicy, of an agreeable flavor in which acid predominates"" - an excellent summary of the key attributes of a good kitchen apple.
Along with Roxbury Russet, Rhode Island Greening is generally considered the oldest apple variety in North America, with records going back to the 17th century. Whereas Roxbury Russet has only recently come back into favor, Rhode Island Greening has always been a popular variety with many commercial plantings - largely because apple pie made with these apples is very hard to beat.
Rhode Island Greening trees are notably long-lived (a characteristic shared with the English Bramley, which like Rhode Island Greening is also a triploid variety).
Fill in the form below and we will notify you when Rhode Island Greening apple tree is back in stock.
The best quality Rhode Island Greening apples probably come from zones 5-7, as it prefers a cooler climate. Pick when green for storage, or when slightly yellow for eating fresh.
It is a triploid variety, and hence cannot pollinate other apple trees.
Advice on fruit tree pollination.
USA 17th century.","Late","Culinary, Traditional cooker","Good","3 months or more","Sharper",,,"Normal ripening",,"Keeps shape","Average","Not self-fertile",3,"Poor","Triploid","Vigorous","Slow to start bearing","Biennial tendency","Spur-bearer",,"Average",,,"Very susceptible","Some susceptibility",,,"(5) -20F / -29C","Cool ( 20-24C / 68-75F), Warm (25-30C / 76-85F)",,,"United States","1650 - 1699",,,
"Ribston Pippin apple tree","Apple tree","
A particuarly handsome apple, thought to be one of the parents of Cox's Orange Pippin. It has some of the aromatic qualities of that variety when eaten fresh, but is noticeably sharper in flavor - and for this reason is often used in the kitchen as well.
By Victorian times Ribston Pippin was very popular as a late fall apple, and the Victorian fruit enthusiast Robert Hogg reported that it was in ""greatest perfection during November and December"".
Fill in the form below and we will notify you when Ribston Pippin apple tree is back in stock.
The main horticultural challenge is that Ribston Pippin is a triploid variety and needs two other trees nearby which must each be of separate varieties. It is far happier in a drier climate than a wet one.



Advice on fruit tree pollination.
Named after Ribston Hall in North Yorkshire, England, where this variety was first planted in the 18th century. Having been grown in Yorkshire for more than 200 years Ribston Pippin is rightly regarded as a traditional Yorkshire variety, however it was almost certainly brought to Ribston Hall from France.","Late","Eating fresh, Culinary","Good","1-2 months","Aromatic",,,"Normal ripening",,,"Average","Not self-fertile",3,"Poor","Triploid","Average vigour",,"Regular","Spur-bearer","Suitable","Average",,,,,,,,"Cool ( 20-24C / 68-75F), Warm (25-30C / 76-85F)",,,"United Kingdom","1700 - 1749","Orange flush",,"RHS Award of Garden Merit"
"Roxbury Russet apple tree","Apple tree","
Roxbury Russet is an apple variety that traces its history right back to the colonial era, and it is thought to be the oldest apple variety originating in North America - almost certainly a seedling of a European variety brought over by the early colonists. It remains popular as a variety for gardens and small orchards, not just for its history but because it is also a good all-round apple.
Roxbury Russet is a typical russet apple, with a sweet flavor. However it is larger than most russet apples. The extent of russeting can vary from considerable to minimal, and like many russets it can develop an attractive sun-kissed flush as well.
It has many uses from eating fresh to sweet and savoury salads, juicing and cider. It keeps well in cold storage and can be used throughout the winter months.
Fill in the form below and we will notify you when Roxbury Russet apple tree is back in stock.
Like many antique apples, Roxbury Russet has some natural resistance to some of the diseases prevalent in the areas it originated, notably cedar apple rust, fireblight and scab.
Part of the reason for its success is that Roxbury Russet is both a very reliable and a very good keeper - qualities which are as useful today as when it was first discovered.
Although usually associated with the eastern apple-growing areas, Roxbury Russet has a good climate range - including coastal southern California.
Advice on fruit tree pollination.
In use in Massachusetts in the early 17th century.","Late","Eating fresh, Culinary, Juice, Hard cider","Good","3 months or more","Sweeter",,,"Normal ripening",,,"Average","Not self-fertile",4,"Poor","Triploid","Vigorous",,"Regular","Partial tip-bearer",,"Average","Very resistant",,"Very resistant","Very resistant",,,"(4) -30F / -34C","Cool ( 20-24C / 68-75F), Warm (25-30C / 76-85F)",,,"United States","1600 - 1649","Russet",,
"Rubinette apple tree","Apple tree","
If you want to grow the best-tasting apple in the world, this is probably it. This unassuming apple has perhaps the most remarkable flavor of any variety. The balance between sweetness and sharpness is often a good indicator of flavor quality in apples - and in Rubinette that balance is close to perfection.
Most people who try Rubinette agree it is the best apple they have ever eaten - here is a selection of the tasting notes from our sister website about Rubinette:
""Undoubtedly the best tasting variety we grow …""
""Rubinettes are, by far, the tastiest apples I have ever eaten.""
""... the most delicious apple I have had in years.""
"" ... a wonderful little apple.""
""Crisp-juicy-flavorsome-tart - the most tasty apple we have had for years.""
""... by far the tastiest apple variety I've tried in a long time.""
""Extreme summer heat did not bother it and the flavor and crunch were outstanding.""
""... the best apples I have eaten.""
""... spent a couple of hours tasting a huge variety of apples, and we all kept coming back to Rubinette.""
""This apple is a revelation ...""
Although it is a cross between Cox's Orange Pippin and Golden Delicious, the depth and subtlety of Rubinette's flavor comes almost entirely from Cox's Orange Pippin.

Fill in the form below and we will notify you when Rubinette apple tree is back in stock.
The main issue with Rubinette is its tendency to produce a large quantity of small apples. This is easily addressed by thinning the fruitlets in late spring just after the blossom finishes - allow no more than 1 fruit per set of blossoms. An unusual feature of Rubinette is that fruit size usually improves as the tree gets older, with good size being achieved about 3 years after planting.
Rubinette can be grown with some success without any chemical treatments (we do ourselves) but spraying against scab (using either conventional or organic pesticides) should give better results in wetter climates. Keep the ground around the tree free from grass and use a mulch to suppress weeds. Religiously clear up all old fruit and fruitlets to deny pests and diseases a home over winter.
Rubinette is a good choice for apple enthusiasts in warmer areas of North America who have not been able to achieve satisfactory results growing Cox's Orange Pippin. Rubinette performs much better than Cox in warmer climates, including southern California. However it is equally at home in cooler temperate climates and can be grown anywhere that Cox can be grown.
Most growers also find that Rubinette maintains a consistently high quality flavor every year, regardless of the weather.

Advice on fruit tree pollination.
Rubinette was developed in the mid-20th century by Walter Hauenstein, a grower from Rafz in Switzerland (hence it is sometimes known as Rafzubin). It is a marriage of two of the world's greatest apple varieties - Cox's Orange Pippin and Golden Delicious.
Hauenstein was originally hoping to produce an ""improved"" Golden Delicious, but as it turned out Rubinette inherited almost all its characteristics from Cox's Orange Pippin. It is an essential variety for Cox enthusiasts.
","Late","Eating fresh","Light","1-2 months","Sweet/Sharp",,,"Normal ripening",,,"Average","Not self-fertile",3,"Average","Diploid","Weak growing",,"Regular","Spur-bearer",,"Poor","Some susceptibility","Some susceptibility","Some susceptibility",,,,"(4) -30F / -34C","Cool ( 20-24C / 68-75F), Warm (25-30C / 76-85F)",,"Some resistance","Switzerland","1950 - 1999","Orange flush",,
"Saint Edmund's Russet apple tree","Apple tree","
Saint Edmund's Russet (sometimes known as St. Edmund's Pippin) is one of the best English russet apple varieties. It looks superb with its dull matt russet coloring, and tastes great.
The flavor is perhaps richer than its better-known compatriot Egremont Russet, and noticeably juicier.
Fill in the form below and we will notify you when Saint Edmund's Russet apple tree is back in stock.
Saint Edmund's Russet is a good backyard apple variety, it crops reliably and grows in a wide range of conditions. Like many russet varieties, it has some natural resistance to many of the main apple diseases, including cedar apple rust.
The only thing to look out for is that it can be a partial tip-bearer - some apples are borne on the ends of shoots rather than the more usual short fruit-bearing spurs. For this reason it is best to keep pruning to a minimum, to avoid accidentally pruning the fruit-bearing tips of shoots.
Advice on fruit tree pollination.
Raised by Mr Harvey of the town of Bury St. Edmunds, in the county of Suffolk, England, in 1875.","Mid","Eating fresh, Juice, Hard cider","Good","2-3 weeks","Sweeter",,,"Normal ripening",,,"Beginner","Partially self-fertile",3,"Average","Diploid","Slightly small",,"Regular","Partial tip-bearer",,"Good","Very resistant","Some resistance",,"Some resistance","Some resistance",,"(5) -20F / -29C","Cool ( 20-24C / 68-75F), Warm (25-30C / 76-85F)",,,"United Kingdom","1850 - 1899","Russet",,"RHS Award of Garden Merit"
"Sansa apple tree","Apple tree","
Sansa is one of the best-flavored and sweetest early-season apple varieties. It is similar in flavor and size to Gala, one of its parents, although as might be expected from an early-season apple it has some acidity too.
Like most early-season apples Sansa does not keep, and is best eaten straight from the tree. It can be kept fresh in a fridge for a week or so.
Aside from its short storage life, it can really be considered as an improved Gala-style apple, and is a far better choice if you want to grow apples with little or no spraying.
Fill in the form below and we will notify you when Sansa apple tree is back in stock.
Although developed for flavor rather than disease resistance, Sansa turns out to have good natural resistance to cedar apple rust, mildew, and scab - probably inherited from its Akane parent which is also naturally resistant.
Sansa is of average vigor, but a good cropper - a quality it probably inherits from Gala.
Like Gala and Akane, Sansa has a wide climate range and can be grown in most areas of the USA.
Advice on fruit tree pollination.
Japan, 1980s. A cross between Gala and Akane.","Early","Eating fresh","Heavy","1 week","Sweeter",,,"Normal ripening",,,"Beginner","Not self-fertile",4,"Average","Diploid","Weak growing","Precocious","Regular","Spur-bearer",,"Good","Some resistance","Very resistant",,"Very resistant",,,"(5) -20F / -29C","Cool ( 20-24C / 68-75F), Warm (25-30C / 76-85F)",,,"Japan","1950 - 1999","Red",,
"Scarlett O'HaraTM apple tree","Apple tree","
Scarlett O'Hara is a modern disease-resistant eating apple, with - as the name suggests - a bright red-flushed skin. The flavor is sweet/sharp with a moderately crisp texture.
Scarlett O'Hara apples ripen over an extended period from the middle to the end of the season. The apples keep well, and can be kept in a fridge or cold store for more than 3 months without loss of quality. The flavor improves for the first 1-2 months.
Fill in the form below and we will notify you when Scarlett O'Hara apple tree is back in stock.
Scartlett O'Hara has good resistance to scab, cedar-apple rust, and mildew, so qualifies as a disease-resistant apple - but it is not a good choice in areas prone to fireblight as it is quite susceptible.
For best fruit quality and size be sure to thin the crop in June if necessary. This will also help prevent any tendency towards biennial bearing. In other respects this is a productive and grower-friendly variety.
Advice on fruit tree pollination.
Scarlett O'Hara was developed by the well-regarded PRI co-operative of Purdue, Rutgers and Illinois universities, and often known by its research name of Co-op 25.  It was released in 1984.  It incorporates the natural scab resistance of Malus floribunda crab-apple as one of its distant ancestors. Its closest ancestors are Red Rome (from which it probably inherits its red coloring) and Golden Delicious.","Late",,"Heavy","3 months or more","Sharper","Sweeter",,"Ripens over a period",,,"Average","Not self-fertile",4,"Average","Diploid","Average vigour","Precocious","Biennial tendency","Partial tip-bearer",,"Good","Very resistant","Some resistance","Very susceptible","Very resistant",,,,"Cool ( 20-24C / 68-75F), Warm (25-30C / 76-85F)",,,"United States","1950 - 1999","Red","Average",
"Shizuka apple tree","Apple tree","
Shizuka is a sister of Mutsu (also known as Crispin) and shares the same parentage. It has a much sweeter character than its sibling, and is the better choice if you prefer a sweet eating apple. However its lack of acidity makes it a bit less versatile than Mutsu in the kitchen.
The apples are quite large, and usually a pale yellow-green color, although this can often be overlaid with an extensive orange flush.
Fill in the form below and we will notify you when Shizuka apple tree is back in stock.
Both Mutsu and Shizuka are triploid varieties, so will not cross-pollinate with other apples. Like Mutsu it appears to be quite susceptible to disease, but in practice its natural vigor means it does not succumb to problems that easily and it is overall quite a reliable tree for the home orchard.
Advice on fruit tree pollination.","Late","Eating fresh, Juice","Heavy","1-2 months","Sweeter","Sweeter",,,,"Textured puree","Average","Not self-fertile",3,"Poor","Triploid","Slightly large",,"Biennial tendency","Spur-bearer",,"Poor","Some susceptibility","Some resistance","Some susceptibility","Some susceptibility",,,,"Cool ( 20-24C / 68-75F), Warm (25-30C / 76-85F)",,,"Japan","1900 - 1949","Green / Yellow","Large",
"SnowSweetÂ® apple tree","Apple tree","
SnowSweet is a crisp sweet-flavored new apple variety, with bright white flesh and crimson red skin.
Cut slices turn brown only very slowly, so this is a useful variety for salads.
Fill in the form below and we will notify you when SnowSweet apple tree is back in stock.
SnowSweet is particularly recommended for growers in cooler climates of the northern US and into Canada. It is considered to be cold-hardy to zone 4a.
Advice on fruit tree pollination.
SnowSweet was developed by the University of Minnesota, the home of many cold-hardy apple varieties. It is a cross of Sharon and Connell Red and was introduced in 2006.","Late","Eating fresh","Heavy","1-2 months","Sweeter","Sweeter",,"Normal ripening",,,"Beginner","Not self-fertile",3,"Average","Diploid","Average vigour",,"Regular","Spur-bearer","Suitable","Good","Some resistance",,"Some resistance",,,,"(4) -30F / -34C","Cool ( 20-24C / 68-75F)",,,"United States",2000,"Crimson","Average",
